DATE,IPG2211A2N
1994-06-01,77.9831
1994-07-01,83.2770
1994-08-01,81.8872
1994-09-01,75.6826
1994-10-01,71.2661
1994-11-01,75.2458
1994-12-01,84.8147
1995-01-01,92.4532
1995-02-01,87.4033
1995-03-01,81.2661
1995-04-01,73.8167
1995-05-01,73.2682
1995-06-01,78.3026
1995-07-01,85.9841
1995-08-01,89.5467
1995-09-01,78.5035
1995-10-01,73.7066
1995-11-01,79.6543
1995-12-01,90.8251
1996-01-01,98.9732
1996-02-01,92.8883
1996-03-01,86.9356
1996-04-01,77.2214
1996-05-01,76.6826
1996-06-01,81.9306
1996-07-01,85.9606
1996-08-01,86.5562
1996-09-01,79.1919
1996-10-01,74.6891
1996-11-01,81.0740
1996-12-01,90.4855
1997-01-01,98.4613
1997-02-01,89.7795
1997-03-01,83.0125
1997-04-01,76.1476
1997-05-01,73.8471
1997-06-01,79.7645
1997-07-01,88.4519
1997-08-01,87.7828
1997-09-01,81.9386
1997-10-01,77.5027
1997-11-01,82.0448
1997-12-01,92.1010
1998-01-01,94.7920
1998-02-01,87.8200
1998-03-01,86.5549
1998-04-01,76.7521
1998-05-01,78.0303
1998-06-01,86.4579
1998-07-01,93.8379
1998-08-01,93.5310
1998-09-01,87.5414
1998-10-01,80.0924
1998-11-01,81.4349
1998-12-01,91.6841
1999-01-01,102.1348
1999-02-01,91.1829
1999-03-01,90.7381
1999-04-01,80.5176
1999-05-01,79.3887
1999-06-01,87.8431
1999-07-01,97.4903
1999-08-01,96.4157
1999-09-01,87.2248
1999-10-01,80.6409
1999-11-01,82.2025
1999-12-01,94.5113
2000-01-01,102.2301
2000-02-01,94.2989
2000-03-01,88.0927
2000-04-01,81.4425
2000-05-01,84.4552
2000-06-01,91.0406
2000-07-01,95.9957
2000-08-01,99.3704
2000-09-01,90.9178
2000-10-01,83.1408
2000-11-01,88.0410
2000-12-01,102.4558
2001-01-01,109.1081
2001-02-01,97.1717
2001-03-01,92.8283
2001-04-01,82.9150
2001-05-01,82.5465
2001-06-01,90.3955
2001-07-01,96.0740
2001-08-01,99.5534
2001-09-01,88.2810
2001-10-01,82.6860
2001-11-01,82.9319
2001-12-01,93.0381
2002-01-01,102.9955
2002-02-01,95.2075
2002-03-01,93.2556
2002-04-01,85.7950
2002-05-01,85.2351
2002-06-01,93.1896
2002-07-01,102.3930
2002-08-01,101.6293
2002-09-01,93.3089
2002-10-01,86.9002
2002-11-01,88.5749
2002-12-01,100.8003
2003-01-01,110.1807
2003-02-01,103.8413
2003-03-01,94.5532
2003-04-01,85.0620
2003-05-01,85.4653
2003-06-01,91.0761
2003-07-01,102.2200
2003-08-01,104.4682
2003-09-01,92.9135
2003-10-01,86.5047
2003-11-01,88.5735
2003-12-01,103.5428
2004-01-01,113.7226
2004-02-01,106.1590
2004-03-01,95.4029
2004-04-01,86.7233
2004-05-01,89.0302
2004-06-01,95.5045
2004-07-01,101.7948
2004-08-01,100.2025
2004-09-01,94.0240
2004-10-01,87.5262
2004-11-01,89.6144
2004-12-01,105.7263
2005-01-01,111.1614
2005-02-01,101.7795
2005-03-01,98.9565
2005-04-01,86.4776
2005-05-01,87.2234
2005-06-01,99.5076
2005-07-01,108.3501
2005-08-01,109.4862
2005-09-01,99.1155
2005-10-01,89.7567
2005-11-01,90.4587
2005-12-01,108.2257
2006-01-01,104.4724
2006-02-01,101.5196
2006-03-01,98.4017
2006-04-01,87.5093
2006-05-01,90.0222
2006-06-01,100.5244
2006-07-01,110.9503
2006-08-01,111.5192
2006-09-01,95.7632
2006-10-01,90.3738
2006-11-01,92.3566
2006-12-01,103.0660
2007-01-01,112.0576
2007-02-01,111.8399
2007-03-01,99.1925
2007-04-01,90.8177
2007-05-01,92.0587
2007-06-01,100.9676
2007-07-01,107.5686
2007-08-01,114.1036
2007-09-01,101.5316
2007-10-01,93.0068
2007-11-01,93.9126
2007-12-01,106.7528
2008-01-01,114.8331
2008-02-01,108.2353
2008-03-01,100.4386
2008-04-01,90.9944
2008-05-01,91.2348
2008-06-01,103.9581
2008-07-01,110.7631
2008-08-01,107.5665
2008-09-01,97.7183
2008-10-01,90.9979
2008-11-01,93.8057
2008-12-01,109.4221
2009-01-01,116.8316
2009-02-01,104.4202
2009-03-01,97.8529
2009-04-01,88.1973
2009-05-01,87.5366
2009-06-01,97.2387
2009-07-01,103.9086
2009-08-01,105.7486
2009-09-01,94.8823
2009-10-01,89.2977
2009-11-01,89.3585
2009-12-01,110.6844
2010-01-01,119.0166
2010-02-01,110.5330
2010-03-01,98.2672
2010-04-01,86.3000
2010-05-01,90.8364
2010-06-01,104.3538
2010-07-01,112.8066
2010-08-01,112.9014
2010-09-01,100.1209
2010-10-01,88.9251
2010-11-01,92.7750
2010-12-01,114.3266
2011-01-01,119.4880
2011-02-01,107.3753
2011-03-01,99.1028
2011-04-01,89.3583
2011-05-01,90.0698
2011-06-01,102.8204
2011-07-01,114.7068
2011-08-01,113.5958
2011-09-01,99.4712
2011-10-01,90.3566
2011-11-01,93.8095
2011-12-01,107.3312
2012-01-01,111.9646
2012-02-01,103.3679
2012-03-01,93.5772
2012-04-01,87.5566
2012-05-01,92.7603
2012-06-01,101.1400
2012-07-01,113.0357
2012-08-01,109.8601
2012-09-01,96.7431
2012-10-01,90.3805
2012-11-01,94.3417
2012-12-01,105.2722
2013-01-01,115.5010
2013-02-01,106.7340
2013-03-01,102.9948
2013-04-01,91.0092
2013-05-01,90.9634
2013-06-01,100.6957
2013-07-01,110.1480
2013-08-01,108.1756
2013-09-01,99.2809
2013-10-01,91.7871
2013-11-01,97.2853
2013-12-01,113.4732
2014-01-01,124.2549
2014-02-01,112.8811
2014-03-01,104.7631
2014-04-01,90.2867
2014-05-01,92.1340
2014-06-01,101.8780
2014-07-01,108.5497
2014-08-01,108.1940
2014-09-01,100.4172
2014-10-01,92.3837
2014-11-01,99.7033
2014-12-01,109.3477
2015-01-01,120.2696
2015-02-01,116.3788
2015-03-01,104.4706
2015-04-01,89.7461
2015-05-01,91.0930
2015-06-01,102.6495
2015-07-01,111.6354
2015-08-01,110.5925
2015-09-01,101.9204
2015-10-01,91.5959
2015-11-01,93.0628
2015-12-01,103.2203
2016-01-01,117.0837
2016-02-01,106.6688
2016-03-01,95.3548
2016-04-01,89.3254
2016-05-01,90.7369
2016-06-01,104.0375
2016-07-01,114.5397
2016-08-01,115.5159
2016-09-01,102.7637
2016-10-01,91.4867
2016-11-01,92.8900
2016-12-01,112.7694
2017-01-01,114.8505
2017-02-01,99.4901
2017-03-01,101.0396
2017-04-01,88.3530
2017-05-01,92.0805
2017-06-01,102.1532
2017-07-01,112.1538
2017-08-01,108.9312
2017-09-01,98.6154
2017-10-01,93.6137
2017-11-01,97.3359
2017-12-01,114.7212
2018-01-01,129.4048
